Close,Date,High,Low,Market_cap,Name,Open,Ticker,Volume
1.00016163,2020-11-16T23:59:59.999Z,1.00038152,0.99943055,2824323545.473792,USD Coin,1.00016798,USDC,512767433.3188505
1.00007611,2020-11-17T23:59:59.999Z,1.00027008,0.99826107,2778032395.1404305,USD Coin,0.99994905,USDC,580963623.7256663
1.00012058,2020-11-18T23:59:59.999Z,1.0008512,0.99985075,2791331389.380975,USD Coin,1.00007611,USDC,656269397.1286036
1.0001876,2020-11-19T23:59:59.999Z,1.00047616,0.99990723,2787373041.403926,USD Coin,1.00012058,USDC,494516423.2394014
1.00003932,2020-11-20T23:59:59.999Z,1.00070339,0.99972389,2801885852.3876796,USD Coin,1.0001876,USDC,566516097.5200608
0.9999918,2020-11-21T23:59:59.999Z,1.00023669,0.99941064,2838032230.108703,USD Coin,1.00003932,USDC,617179131.3370124
0.99997751,2020-11-22T23:59:59.999Z,1.00029969,0.99827712,2874006400.014486,USD Coin,0.9999918,USDC,612750449.9767609
0.99981977,2020-11-23T23:59:59.999Z,1.00032539,0.99851183,2863280574.4259906,USD Coin,0.99997751,USDC,684467515.1872633
0.99983031,2020-11-24T23:59:59.999Z,1.00037549,0.99678833,2853387869.96709,USD Coin,0.99983746,USDC,767726662.7677203
1.00005264,2020-11-25T23:59:59.999Z,1.00029245,0.99563957,2871209648.768214,USD Coin,0.99983029,USDC,684764089.2149261
1.00023493,2020-11-26T23:59:59.999Z,1.00130433,0.9996175,2893029204.9162273,USD Coin,1.00005262,USDC,1029792049.3507107
1.00076925,2020-11-27T23:59:59.999Z,1.00108028,0.99981404,2903445285.1417937,USD Coin,1.00023502,USDC,579819717.1880339
1.00004266,2020-11-28T23:59:59.999Z,1.00085979,0.99990268,2967986028.700244,USD Coin,1.00076906,USDC,505337858.94706166
1.00007259,2020-11-29T23:59:59.999Z,1.00027257,0.99952345,2964393940.4857416,USD Coin,1.00004264,USDC,469745855.53550136
1.00019227,2020-11-30T23:59:59.999Z,1.00047982,0.99966285,2963118009.4410486,USD Coin,1.00007259,USDC,707506102.9192204
1.00022674,2020-12-01T23:59:59.999Z,1.00081762,0.99989984,2975385310.80615,USD Coin,1.00019227,USDC,791656263.8284781
1.00005216,2020-12-02T23:59:59.999Z,1.00081234,0.99900185,2958068729.426449,USD Coin,1.0002267,USDC,659579564.6123352
0.99998822,2020-12-03T23:59:59.999Z,1.00062332,0.99959722,2965255277.8051853,USD Coin,1.00005217,USDC,613512931.4544368
1.00005416,2020-12-04T23:59:59.999Z,1.00043653,0.9995646,2963592089.8754344,USD Coin,0.99998822,USDC,616718868.6281176
1.00002447,2020-12-05T23:59:59.999Z,1.00033489,0.99965257,3037637283.8580327,USD Coin,1.00005416,USDC,528929181.54913586
1.00026969,2020-12-06T23:59:59.999Z,1.00042702,0.99993507,3073447381.023419,USD Coin,1.00002474,USDC,500125499.21522737
1.00000792,2020-12-07T23:59:59.999Z,1.00051672,0.99996938,3054758318.4260406,USD Coin,1.00026963,USDC,503390381.71223265
